"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"49","DSC_8662",11276,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"50","DSC_8662",11279,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"51","DSC_8662",11282,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","na","cant distinguish legs and shadows"
"52","DSC_8662",11285,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"53","DSC_8662",11288,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","no",""
"54","DSC_8662",11291,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","na","ant not sideways"
"55","DSC_8662",11294,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"56","DSC_8662",11297,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","no",""
"57","DSC_8662",11300,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","no",""
"58","DSC_8662",11303,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"59","DSC_8662",11306,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",55.844,55.92,57.829,"","no",""
"60","DSC_8662",11309,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","na","cant distinguish legs"
"61","DSC_8662",11312,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"62","DSC_8662",11315,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant too blurry","na","ant too blurry"
"63","DSC_8662",11318,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",44.474,45.576,44.433,"","na","Cant determine if gaster is touching or if paper shadows are skewing it to appear so"
"64","DSC_8662",11321,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","na","cant determine if gaster is touching or if paper shadows are skewing it to appear so"
"65","DSC_8662",11324,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",39.663,39.903,41.566,"","na","cant determine if gaster is touching or if paper shadows are skewing it to appear so"
"66","DSC_8662",11327,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","na","ant not sideways"
"67","DSC_8662",11330,"10/8/2023","C4F23","12/14/2023","Control","2023","Hayley",912.219,608.146,"Right","Correct","Yes",NA,NA,NA,"ant not sideways","na","ant not sideways"
"68","DSC_8701",1186,"10/18/2023","C6F23","11/3/2025","Control","2023","Chinmay",918.02,612.01,"Left","Correct","Yes",46.103,46.051,45.058,"","na",""
"69","DSC_8701",1189,"10/18/2023","C6F23","11/3/2025","Control","2023","Chinmay",918.02,612.01,"Left","Correct","Yes",44.96,44.719,43.705,"","yes",""
