Video,Frame no.,Date of video,Colony,Date of analysis,Treatment,Year,Observer doing the analysis,Length in pixels of Zone2,Length in pixels of Zone1,End of bridge,Ant choice,Ant fed on the feeder,Angle measurement 1,Angle measurement 2,Angle measurement 3,Reason for NA (Angle measurement),Gaster touching the paper,Comments
DSC_8412,230,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,49.276,50.528,48.145,NA,No,
DSC_8412,233,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,49.802,50.735,50.259,NA,No,
DSC_8412,236,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,30.709,32.556,32.751,NA,No,
DSC_8412,239,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,50.080,47.490,48.423,NA,No,
DSC_8412,242,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,47.490,48.077,47.490,NA,No,
DSC_8412,245,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,49.970,50.412,50.648,NA,No,
DSC_8412,248,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,47.663,48.215,50.440,NA,No,
DSC_8412,251,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,40.236,39.523,41.285,Ant not completely sideways,No,
DSC_8412,254,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8412,257,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8412,260,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8412,263,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,39.523,41.082,41.820,NA,No,
DSC_8412,266,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,47.352,48.215,48.289,NA,No,
DSC_8412,269,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,NA,NA,NA,Cannot differentiate between face and gaster,No,
DSC_8412,272,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8412,275,10/7/2022,C1F22,11/3/2022,Experimental,2022,Cyle,1104.958,149.319,Right,Abandoned,No,NA,NA,NA,Cannot differentiate between face and gaster,No,
DSC_8413,126,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,129,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,132,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,33.466,32.871,34.752,NA,Yes,
DSC_8413,135,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,138,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,43.602,43.251,45.152,Cannot tell if gaster is touching the paper,NA,
DSC_8413,141,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,144,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,147,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,150,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,153,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not completely sideways,No,
DSC_8413,156,10/7/2022,C1F22,11/4/2022,Experimental,2022,Cyle,1084.976,146.618,Right,Abandoned,No,NA,NA,NA,Ant not in the frame,NA,
DSC_8430,283,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Gaster cannot be distinguished from petiole,NA,
DSC_8430,286,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Gaster cannot be distinguished from petiole,NA,
DSC_8430,289,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Ant not completely sideways,NA,
DSC_8430,292,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Ant not completely sideways,NA,
DSC_8430,295,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,40.872,41.262,43.531,NA,NA,
DSC_8430,298,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,41.075,40.711,40.151,NA,NA,
DSC_8430,301,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,45.895,45.535,45.746,NA,No,
DSC_8430,304,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,37.066,37.530,39.284,NA,NA,
DSC_8430,307,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Ant not completely sideways,NA,
DSC_8430,310,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Ant not completely sideways,NA,
DSC_8430,313,10/11/2022,C1F22,11/14/2022,Experimental,2022,Cyle,1339.589,181.026,Left,Abandoned,No,NA,NA,NA,Ant not completely sideways,NA,
