Date,Time,Observer,Colony ID,Treatment (Control/Experimental),Side/arm of feeder,Side that ant went towards,Ant choice,Ant fed on the feeder,Weather notes,Ground temperature (Degree celsius),Setup temperature (Degree Celsius)
9/27/2022,4:45 PM,Chinmay,C1F22,Experimental,Left,Abandoned,Abandoned,No,Sunny,NA,NA
9/27/2022,4:45 PM,Chinmay,C1F22,Experimental,Left,Abandoned,Abandoned,No,Sunny,NA,NA
10/3/2022,5:50 PM,Chinmay,C1F22,Experimental,Right,Left,Wrong,No,Partly cloudy,NA,NA
10/7/2022,10:10 AM,Chinmay,C1F22,Experimental,Right,Abandoned,Abandoned,No,Sunny,NA,NA
10/7/2022,10:10 AM,Chinmay,C1F22,Experimental,Right,Abandoned,Abandoned,No,Sunny,NA,NA
10/8/2022,11:15 AM,Chinmay,C1F22,Experimental,Left,Abandoned,Abandoned,No,Sunny,NA,NA
10/8/2022,11:15 AM,Chinmay,C1F22,Experimental,Left,Right,Wrong,No,Sunny,NA,NA
10/10/2022,4:50 PM,Chinmay,C1F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy,NA,NA
10/10/2022,4:50 PM,Chinmay,C1F22,Experimental,Right,Right,Correct,Yes,Partly cloudy,NA,NA
10/11/2022,5:30 PM,Chinmay,C1F22,Experimental,Left,Right,Wrong,No,Sunny,NA,NA
10/11/2022,5:30 PM,Chinmay,C1F22,Experimental,Left,Abandoned,Abandoned,No,Sunny,NA,NA
10/17/2022,1:00 PM,Chinmay,C2F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy,NA,NA
10/17/2022,4:30 PM,Chinmay,C2F22,Experimental,Left,Left,Correct,Yes,Partly cloudy,NA,NA
10/19/2022,4:20 PM,Chinmay,C3F22,Experimental,Right,Left,Wrong,No,Partly cloudy,NA,NA
10/19/2022,4:20 PM,Chinmay,C3F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy,NA,NA
10/19/2022,5:45 PM,Chinmay,C3F22,Control,Left,Left,Correct,Yes,Partly cloudy,NA,NA
10/19/2022,5:45 PM,Chinmay,C3F22,Control,Left,Left,Correct,No,Partly cloudy,NA,NA
10/19/2022,5:45 PM,Chinmay,C3F22,Control,Left,Left,Correct,Yes,Partly cloudy,NA,NA
10/20/2022,4:10 PM,Chinmay,C3F22,Experimental,Left,Abandoned,Abandoned,No,Partly cloudy,NA,NA
10/20/2022,4:10 PM,Chinmay,C3F22,Experimental,Left,Right,Wrong,No,Partly cloudy,NA,NA
10/20/2022,4:10 PM,Chinmay,C3F22,Experimental,Left,Abandoned,Abandoned,No,Partly cloudy,NA,NA
10/20/2022,5:30 PM,Chinmay,C3F22,Control,Right,Right,Correct,Yes,Partly cloudy,NA,NA
10/20/2022,5:30 PM,Chinmay,C3F22,Control,Right,Right,Correct,Yes,Partly cloudy,NA,NA
10/22/2022,2:30 PM,Chinmay,C3F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy and slightly windy,NA,NA
10/22/2022,2:30 PM,Chinmay,C3F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy and slightly windy,NA,NA
10/22/2022,2:30 PM,Chinmay,C3F22,Experimental,Right,Right,Correct,No,Partly cloudy and slightly windy,NA,NA
10/22/2022,3:10 PM,Chinmay,C3F22,Control,Left,Abandoned,Abandoned,No,Partly cloudy and slightly windy,NA,NA
10/22/2022,3:10 PM,Chinmay,C3F22,Control,Left,Left,Correct,Yes,Partly cloudy and slightly windy,NA,NA
10/22/2022,3:10 PM,Chinmay,C3F22,Control,Left,Left,Correct,Yes,Partly cloudy and slightly windy,NA,NA
10/23/2022,3:30 PM,Chinmay,C3F22,Experimental,Left,Abandoned,Abandoned,No,Cloudy and slightly windy,NA,NA
10/23/2022,3:30 PM,Chinmay,C3F22,Experimental,Left,Abandoned,Abandoned,No,Cloudy and slightly windy,NA,NA
10/23/2022,3:30 PM,Chinmay,C3F22,Experimental,Left,Abandoned,Abandoned,No,Cloudy and slightly windy,NA,NA
10/25/2022,4:00 PM,Chinmay,C3F22,Control,Right,Left,Wrong,Yes,Sunny,NA,NA
10/25/2022,4:00 PM,Chinmay,C3F22,Control,Right,Left,Wrong,Yes,Sunny,NA,NA
10/26/2022,4:10 PM,Chinmay,C3F22,Experimental,Right,Left,Wrong,Yes,Sunny,NA,NA
10/31/2022,1:35 PM,Chinmay,C3F22,Control,Right,Right,Correct,Yes,Sunny,NA,NA
10/31/2022,1:35 PM,Chinmay,C3F22,Control,Right,Left,Wrong,Yes,Sunny,NA,NA
11/1/2022,4:45 PM,Chinmay,C3F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy and slightly windy,NA,NA
11/1/2022,4:45 PM,Chinmay,C3F22,Experimental,Right,Abandoned,Abandoned,No,Partly cloudy and slightly windy,NA,NA
11/2/2022,5:30 PM,Chinmay,C3F22,Control,Left,Left,Correct,Yes,Partly cloudy and slightly windy,NA,NA
9/22/2023,5:45 PM,Chinmay,C1F23,Experimental,Right,Abandoned,Abandoned,No,"Sunny, 35C",32,29
