Video,Frame.no.,Date.of.video,Colony,Date.of.analysis,Treatment,Year,Observer.doing.the.analysis,Length.in.pixels.of.Zone2,Length.in.pixels.of.Zone1,End.of.bridge,Ant.choice,Angle.measurement.1,Angle.measurement.2,Angle.measurement.3,Reason.for.NA..Angle.measurement.,Gaster.touching.the.paper,Comments
DSC_8662,11276,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11279,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11282,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,na,cant distinguish legs and shadows
DSC_8662,11285,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11288,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,no,
DSC_8662,11291,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,na,ant not sideways
DSC_8662,11294,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11297,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,no,
DSC_8662,11300,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,no,
DSC_8662,11303,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11306,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,55.844,55.92,57.829,,no,
DSC_8662,11309,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,na,cant distinguish legs
DSC_8662,11312,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11315,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant too blurry,na,ant too blurry
DSC_8662,11318,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,44.474,45.576,44.433,,na,Cant determine if gaster is touching or if paper shadows are skewing it to appear so
DSC_8662,11321,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,na,cant determine if gaster is touching or if paper shadows are skewing it to appear so
DSC_8662,11324,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,39.663,39.903,41.566,,na,cant determine if gaster is touching or if paper shadows are skewing it to appear so
DSC_8662,11327,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,na,ant not sideways
DSC_8662,11330,10/8/2023,C4F23,12/14/2023,Control,2023,Hayley,912.219,608.146,Right,Correct,NA,NA,NA,ant not sideways,na,ant not sideways
DSC_8701,1186,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,46.103,46.051,45.058,,na,
DSC_8701,1189,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,44.96,44.719,43.705,,yes,
DSC_8701,1192,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,NA,NA,NA,ant too blurry,na,
DSC_8701,1195,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,45.578,45.62,44.88,,na,
DSC_8701,1198,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,47.161,47.231,46.392,,no,
DSC_8701,1201,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,NA,NA,NA,ant too blurry,na,
DSC_8701,1204,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,41.362,41.788,40.23,,yes,
DSC_8701,1207,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,48.724,49.701,49.056,,no,
DSC_8701,1210,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,NA,NA,NA,ant too blurry,na,
DSC_8701,1213,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,44.469,43.698,43.092,,yes,
DSC_8701,1216,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,44.123,45.514,44.077,,yes,
DSC_8701,1219,10/18/2023,C6F23,11/3/2025,Control,2023,Chinmay,918.02,612.01,Left,Correct,44.975,44.188,45.975,,yes,
DSC_8720,9555,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9558,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9561,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9564,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9567,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9570,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9573,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9576,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
DSC_8720,9579,10/23/2023,C6F23,11/3/2025,Control,2023,Chinmay,912.002,608.001,Right,Correct,NA,NA,NA,ant too blurry,na,
