"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"48","DSC_8442",20223,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",53.714,53.915,53.791,NA,"No",""
"49","DSC_8442",20226,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",55.087,56.095,55.893,NA,"No",""
"50","DSC_8442",20229,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",52.667,51.961,52.836,NA,"No",""
"51","DSC_8442",20232,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",NA,NA,NA,"Gaster cannot be distinguished from leg",NA,""
"52","DSC_8442",20235,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",NA,NA,NA,"Gaster cannot be distinguished from leg",NA,""
"53","DSC_8442",20238,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",50.071,49.339,49.125,NA,"No",""
"54","DSC_8442",20241,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",52.123,53.656,53.183,NA,"No",""
"55","DSC_8442",20244,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",53.247,52.113,53.021,NA,"No",""
"56","DSC_8442",20247,"10/17/2022","C2F22","11/19/2025","Experimental","2022","Chinmay",1208.166,163.266,"Right","Correct","No",53.206,52.211,52.175,NA,"No",""
"61","DSC_8469",4868,"10/19/2022","C3F22","11/16/2022","Control","2022","Cyle",1080.185,145.971,"Right","Correct","Yes",37.97,35.727,37.56,NA,NA,""
"62","DSC_8469",4871,"10/19/2022","C3F22","11/16/2022","Control","2022","Cyle",1080.185,145.971,"Right","Correct","Yes",51.436,52.524,52.334,NA,"No",""
"63","DSC_8469",4874,"10/19/2022","C3F22","11/16/2022","Control","2022","Cyle",1080.185,145.971,"Right","Correct","Yes",50.357,50.53,50.43,NA,"No",""
"64","DSC_8469",4877,"10/19/2022","C3F22","11/16/2022","Control","2022","Cyle",1080.185,145.971,"Right","Correct","Yes",NA,NA,NA,"Gaster cannot be distinguished from petiole","No",""
"65","DSC_8469",4880,"10/19/2022","C3F22","11/16/2022","Control","2022","Cyle",1080.185,145.971,"Right","Correct","Yes",57.095,57.403,57.679,NA,"No",""
"78","DSC_8482",3686,"10/20/2022","C3F22","11/19/2025","Control","2022","Chinmay",1222.026,165.139,"Right","Correct","Yes",50.491,50.833,50.611,NA,"No",""
"79","DSC_8482",3689,"10/20/2022","C3F22","11/17/2022","Control","2022","Cyle",1222.026,165.139,"Right","Correct","Yes",53.696,51.929,53.499,NA,"No",""
"80","DSC_8482",3692,"10/20/2022","C3F22","11/17/2022","Control","2022","Cyle",1222.026,165.139,"Right","Correct","Yes",49.354,48.709,49.727,NA,"No",""
"81","DSC_8482",3695,"10/20/2022","C3F22","11/17/2022","Control","2022","Cyle",1222.026,165.139,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","No",""
"82","DSC_8482",3698,"10/20/2022","C3F22","11/17/2022","Control","2022","Cyle",1222.026,165.139,"Right","Correct","Yes",NA,NA,NA,"Ant not completely sideways","No",""
"83","DSC_8482",3701,"10/20/2022","C3F22","11/17/2022","Control","2022","Cyle",1222.026,165.139,"Right","Correct","Yes",48.316,47.373,48.303,NA,"No",""
"84","DSC_8482",3704,"10/20/2022","C3F22","11/17/2022","Control","2022","Cyle",1222.026,165.139,"Right","Correct","Yes",45,45,45,NA,"Yes",""
